Ville	Chomage	ChomageJeunes	ChomageLong	EvoluEmploiCree	Activite	EmploiFeminin	EmploiCommune	DefaillEntreprise	SalaireAnnuel	Criminalite	EvolutionCrimes	SecuriteRoutiere	Inondations	TerrainsPollues	UsinesRisques	MortaliteInfantile	MortaliteCancerPoumon	MortaliteAlcool	DecesInfarctus	TauxSuicide	MortaliteGlobale	TailleClassesPrimaires	Retard6eme	Retard3eme	RetardTerminale	MetreCarreAncien	TaxeHabitation	FoncierBati	MetreCubeEau	Proprietaires	LogtSup4pieces	LogtInsalubre	LogtVacant	LogtConstruction	Mer	Ski	Soleil	Pluie	Temperature	MarcheAPied	Musees	Cinema	MonumHistoriques	PretLivres	RestaurDistingues	Presse	Etudiants	ImpotRevenu	ImpotFortune	Imposables	EvolDemographique	Vieillissement	AttiranceGlobale	AttiranceActifs
Agen	0.181	0.161	0.580	0.050	0.440	0.530	0.560	0.180	17210	105.700	-0.038	3.100	5	1	0	2.600	47.700	32.200	50.100	19.400	729.100	21.600	0.058	0.078	0.230	788	15.070	26.390	2.550	0.320	0.440	0.010	0.110	0.009	2	1	1984	111.500	12.600	0.170	1	3.100	9	3.700	0.000	28.600	0.060	1067	0.005	46	-0.013	0.560	0.380	0.470
AixEnProvence	0.166	0.133	0.550	0.100	0.430	0.470	0.570	0.130	22232	123.500	-0.014	2.200	5	1	0	4.000	33.600	23.300	52.400	17.200	703.900	24.900	0.021	0.072	0.202	1566	18.940	17.640	1.750	0.360	0.430	0.005	0.090	0.004	2	1	2836	60.000	13.600	0.110	5	4.200	64	4.400	1.000	19.900	0.310	2121	0.015	57	0.084	0.370	0.370	0.390
Ajaccio	0.166	0.181	0.520	0.020	0.430	0.460	0.770	0.140	17882	55.800	0.159	6.500	5	1	3	3.800	50.800	25.200	70.700	16.800	854.000	24.400	0.061	0.098	0.186	1220	22.720	15.020	2.230	0.440	0.490	0.006	0.090	0.014	3	2	2737	74.600	14.800	0.130	2	1.600	7	4.300	1.000	24.400	0.010	1207	0.004	47	-0.103	0.370	0.190	0.210
Albi	0.144	0.151	0.540	0.050	0.420	0.510	0.670	0.090	17923	68.700	0.084	1.800	6	4	0	0.800	43.200	26.200	67.000	23.300	756.500	22.100	0.043	0.119	0.167	804	13.410	25.210	1.960	0.490	0.600	0.006	0.080	0.008	1	1	2077	106.000	13.100	0.100	1	3.000	9	4.300	0.000	22.100	0.070	1245	0.004	51	-0.007	0.590	0.310	0.350
Amiens	0.200	0.165	0.610	0.050	0.440	0.460	0.640	0.170	18037	116.900	0.042	2.900	5	6	1	7.000	49.800	50.000	72.100	22.000	890.400	21.600	0.033	0.094	0.240	1058	17.970	27.760	1.930	0.350	0.490	0.033	0.070	0.001	2	1	1638	125.400	9.800	0.120	2	4.000	14	3.300	0.000	14.700	0.180	1208	0.006	47	0.028	0.240	0.260	0.280
Angers	0.157	0.164	0.560	0.020	0.430	0.510	0.600	0.110	17980	77.200	-0.052	4.400	9	3	0	6.600	43.300	40.300	56.400	23.600	739.400	23.200	0.038	0.083	0.176	1024	16.900	31.490	1.950	0.290	0.420	0.011	0.060	0.003	2	1	1944	107.700	11.500	0.090	7	4.300	41	6.400	0.000	16.300	0.180	1233	0.007	51	0.070	0.340	0.380	0.400
Angouleme	0.203	0.118	0.610	0.050	0.460	0.490	0.490	0.220	17794	71.300	-0.098	3.300	4	4	1	5.000	49.200	51.400	61.700	24.600	781.200	23.400	0.059	0.145	0.244	650	18.430	40.200	2.910	0.350	0.490	0.014	0.100	0.005	2	1	2025	118.000	12.500	0.120	4	4.500	2	4.600	0.000	28.800	0.040	1116	0.006	48	0.007	0.440	0.380	0.460
Annecy	0.134	0.123	0.440	0.030	0.480	0.510	0.470	0.110	18957	109.000	-0.007	5.800	3	5	1	5.600	39.200	41.200	52.900	26.900	750.300	24.200	0.030	0.059	0.139	1837	16.330	16.220	2.300	0.410	0.350	0.005	0.070	0.009	1	2	2027	110.400	9.000	0.170	1	3.900	5	12.100	2.000	26.800	0.040	1512	0.013	59	0.014	0.500	0.400	0.480
Antibes	0.153	0.198	0.490	0.050	0.430	0.470	0.530	0.150	19993	118.500	-0.191	9.200	16	2	0	2.600	39.700	27.100	71.000	15.400	671.100	24.600	0.030	0.095	0.219	2542	14.350	15.900	2.690	0.510	0.280	0.005	0.050	0.008	3	2	2694	63.100	15.600	0.100	2	1.900	5	4.100	1.000	23.300	0.010	1774	0.017	58	0.034	0.640	0.320	0.360
Arles	0.205	0.198	0.610	0.100	0.420	0.460	0.620	0.120	17737	77.300	-0.081	1.400	10	2	0	3.600	43.900	21.100	81.700	13.700	835.700	23.400	0.066	0.146	0.234	762	23.940	27.210	2.940	0.460	0.580	0.010	0.100	0.010	2	1	2836	56.900	14.400	0.110	4	1.800	40	3.600	0.000	17.400	0.010	995	0.005	44	-0.030	0.370	0.200	0.230
